year,O_D,Team,Tot Pts,RushYds,PassYds,TotYds
2011,defense,Green Bay Packers,359,1789,4796,6585
2012,defense,San Francisco 49ers,273,1507,3203,4710
2012,defense,Seattle Seahawks,245,1649,3250,4899
2012,defense,Chicago Bears,277,1627,3423,5050
2012,defense,Carolina Panthers,363,1761,3568,5329
2012,defense,Green Bay Packers,336,1896,3492,5388
2012,defense,Arizona Cardinals,357,2192,3213,5405
2012,defense,Detroit Lions,437,1889,3569,5458
2012,defense,St. Louis Rams,348,1880,3602,5482
2012,defense,Philadelphia Eagles,444,2021,3470,5491
2012,defense,Minnesota Vikings,348,1692,3908,5600
2012,defense,Dallas Cowboys,400,2003,3684,5687
2012,defense,Atlanta Falcons,299,1971,3878,5849
2012,defense,Washington Redskins,388,1532,4511,6043
2012,defense,Tampa Bay Buccaneers,394,1320,4758,6078
2012,defense,New York Giants,344,2066,4068,6134
2012,defense,New Orleans Saints,454,2361,4681,7042
2013,defense,Seattle Seahawks,231,1626,2752,4378
2013,defense,Carolina Panthers,241,1391,3429,4820
2013,defense,New Orleans Saints,304,1786,3105,4891
2013,defense,San Francisco 49ers,272,1535,3536,5071
2013,defense,Arizona Cardinals,324,1351,3728,5079
2013,defense,New York Giants,383,1743,3573,5316
2013,defense,St. Louis Rams,364,1646,3874,5520
2013,defense,Detroit Lions,376,1596,3950,5546
2013,defense,Tampa Bay Buccaneers,389,1762,3806,5568
2013,defense,Washington Redskins,478,1769,3896,5665
2013,defense,Green Bay Packers,428,2000,3956,5956
2013,defense,Atlanta Falcons,443,2173,3897,6070
2013,defense,Philadelphia Eagles,382,1668,4636,6304
2013,defense,Chicago Bears,478,2583,3730,6313
2013,defense,Minnesota Vikings,480,1767,4595,6362
2013,defense,Dallas Cowboys,432,2056,4589,6645
2014,defense,Seattle Seahawks,254,1304,2970,4274
2014,defense,Detroit Lions,282,1109,3706,4815
2014,defense,San Francisco 49ers,340,1612,3531,5143
2014,defense,Carolina Panthers,374,1792,3645,5437
2014,defense,Minnesota Vikings,343,1943,3572,5515
2014,defense,Green Bay Packers,348,1919,3623,5542
2014,defense,St. Louis Rams,354,1765,3861,5626
2014,defense,Dallas Cowboys,352,1650,4031,5681
2014,defense,Washington Redskins,438,1722,3990,5712
2014,defense,Arizona Cardinals,299,1739,4152,5891
2014,defense,Tampa Bay Buccaneers,410,1819,4084,5903
2014,defense,Philadelphia Eagles,400,1771,4238,6009
2014,defense,New York Giants,400,2162,3850,6012
2014,defense,Chicago Bears,442,1803,4230,6033
2014,defense,New Orleans Saints,424,2125,4019,6144
2014,defense,Atlanta Falcons,417,1894,4478,6372
2015,defense,Seattle Seahawks,277,1304,3364,4668
2015,defense,Arizona Cardinals,313,1460,3687,5147
2015,defense,Carolina Panthers,308,1415,3752,5167
2015,defense,Tampa Bay Buccaneers,417,1606,3840,5446
2015,defense,Minnesota Vikings,302,1748,3759,5507
2015,defense,Chicago Bears,397,1934,3593,5527
2015,defense,Green Bay Packers,323,1905,3642,5547
2015,defense,Atlanta Falcons,345,1680,3882,5562
2015,defense,Dallas Cowboys,374,1934,3632,5566
2015,defense,Detroit Lions,400,1808,3786,5594
2015,defense,St. Louis Rams,330,1820,4065,5885
2015,defense,Washington Redskins,379,1962,4128,6090
2015,defense,San Francisco 49ers,387,2020,4179,6199
2015,defense,Philadelphia Eagles,430,2153,4273,6426
2015,defense,New Orleans Saints,476,2071,4544,6615
2015,defense,New York Giants,442,1942,4783,6725
2016,defense,Arizona Cardinals,362,1518,3365,4883
2016,defense,Minnesota Vikings,307,1711,3327,5038
2016,defense,Seattle Seahawks,292,1487,3612,5099
2016,defense,Los Angeles Rams,394,1660,3732,5392
2016,defense,New York Giants,284,1417,4018,5435
2016,defense,Philadelphia Eagles,331,1652,3832,5484
2016,defense,Dallas Cowboys,306,1336,4167,5503
2016,defense,Chicago Bears,399,1950,3598,5548
2016,defense,Detroit Lions,358,1701,3975,5676
2016,defense,Carolina Panthers,402,1465,4291,5756
2016,defense,Green Bay Packers,388,1515,4308,5823
2016,defense,Tampa Bay Buccaneers,369,1875,4012,5887
2016,defense,Atlanta Falcons,406,1672,4267,5939
2016,defense,New Orleans Saints,454,1626,4380,6006
2016,defense,Washington Redskins,383,1916,4130,6046
2016,defense,San Francisco 49ers,480,2654,3848,6502
2017,defense,Minnesota Vikings,252,1337,3078,4415
2017,defense,Philadelphia Eagles,295,1267,3637,4904
2017,defense,Arizona Cardinals,361,1434,3541,4975
2017,defense,Carolina Panthers,327,1409,3665,5074
2017,defense,Dallas Cowboys,332,1664,3425,5089
2017,defense,Atlanta Falcons,315,1665,3429,5094
2017,defense,Chicago Bears,320,1730,3376,5106
